,Departamento,Capital,Barrio,long,lat
0,CASANARE,YOPAL (CT),EL GAVAN,-72.400971,5.3468947
1,CASANARE,YOPAL (CT),LA FLORESTA,-72.400414,5.3455428
2,CASANARE,YOPAL (CT),EL CENTRO,-72.3936931,5.3356662
3,CASANARE,YOPAL (CT),COMCAJA,-72.38566947174627,5.3386860999999985
4,CASANARE,YOPAL (CT),CASIMENA,-72.3997264,5.3446621
5,CASANARE,YOPAL (CT),LA LIBERTAD,-72.3936931,5.3356662
6,CASANARE,YOPAL (CT),LA CAMPIÑA,-72.4057712,5.332117299999998
7,CASANARE,YOPAL (CT),EL PORTAL,-72.3936931,5.3356662
8,CASANARE,YOPAL (CT),LA COROCORA,-72.402792037796,5.3421515999999984
9,CASANARE,YOPAL (CT),CENTRO,-72.3936931,5.3356662
10,CASANARE,YOPAL (CT),COMFACASANARE,-72.40069641897549,5.35081805
11,CASANARE,YOPAL (CT),CAMPIÑA,-72.4057712,5.332117299999998
12,CASANARE,YOPAL (CT),EL OASIS,-72.3936931,5.3356662
13,CASANARE,YOPAL (CT),EL ALCARAVAN,-72.38431129592793,5.32032485
14,CASANARE,YOPAL (CT),HOBO,-72.38862129513532,5.34509505
15,CASANARE,YOPAL (CT),CAMORUCO,-72.3988871,5.349314
16,CASANARE,YOPAL (CT),LAS AMERICAS,-72.37217150000002,5.323257849999999
17,CASANARE,YOPAL (CT),VILLA MARIA,-72.3936931,5.3356662
18,CASANARE,YOPAL (CT),EL BOSQUE,-72.40280794728261,5.342720099999998
19,CASANARE,YOPAL (CT),LOS ALAMOS,-72.3936931,5.3356662
20,CASANARE,YOPAL (CT),LOS PINOS,-72.3936931,5.3356662
21,CASANARE,YOPAL (CT),LA ARBOLEDA,-72.3936931,5.3356662
22,CASANARE,YOPAL (CT),LOS ANGELES,-72.40042209999999,5.3454415
23,CASANARE,YOPAL (CT),VILLA CONSUELO,-72.3936931,5.3356662
24,CASANARE,YOPAL (CT),LA ESMERALDA,-72.38926709996093,5.31037425
25,CASANARE,YOPAL (CT),CIUDADELA LA DECISION,-72.40641872615048,5.3398708
26,CASANARE,YOPAL (CT),FLOR AMARILLO,-72.39844529999998,5.3485527
27,CASANARE,YOPAL (CT),EL PORVENIR,-72.3937833,5.3065105
