,Departamento,Capital,Barrio,long,lat
13,BOYACÁ,TUNJA (CT),PLAZA DE BOLIVAR,-73.36163459598356,5.5323191000000005
19,BOYACÁ,TUNJA (CT),ESTADIO LA INDEPENDENCIA,-73.3545167,5.5423333
21,BOYACÁ,TUNJA (CT),VILLA UNIVERSITARIA,-73.3565625,5.5483549000000005
27,BOYACÁ,TUNJA (CT),BARRIO LOS CRISTALES,-73.3552337,5.5538422
36,BOYACÁ,TUNJA (CT),BARRIO LOS ANDES,-73.361362,5.532363200000001
42,BOYACÁ,TUNJA (CT),BARRIO RINCON DE LA PRADERA,-73.3547323,5.5456399
43,BOYACÁ,TUNJA (CT),BARRIO SAN LAUREANO,-73.3633345,5.5267749
44,BOYACÁ,TUNJA (CT),BARRIO COOSERVICIOS,-73.3599251,5.515125
50,BOYACÁ,TUNJA (CT),BARRIO LA GRANJA,-73.34983035246283,5.5613023
51,BOYACÁ,TUNJA (CT),BARRIO LOS URAPANES,-73.3572921,5.5479726
52,BOYACÁ,TUNJA (CT),BARRIO PORTAL DE OTOÑO,-73.3597802,5.5177788
61,BOYACÁ,TUNJA (CT),PARQUE PINZON,-73.35934556029329,5.53592895
68,BOYACÁ,TUNJA (CT),PARQUE SANTANDER,-73.36276823505077,5.5361875000000005
82,BOYACÁ,TUNJA (CT),PARQUE RECREACIONAL DEL NORTE,-73.35833073048278,5.5473766
113,BOYACÁ,TUNJA (CT),SECTOR LOS HONGOS,-73.36856103385719,5.51629555
115,BOYACÁ,TUNJA (CT),BARRIO ASIS,-73.34549141520313,5.569139399999999
118,BOYACÁ,TUNJA (CT),URBANIZACION LAS QUINTAS,-73.3491782,5.553212
168,BOYACÁ,TUNJA (CT),VDA. ESPERANZA,-73.361362,5.532363200000001
225,BOYACÁ,TUNJA (CT),BARRIO SAN RICARDO,-73.3596508,5.5334614
